"BGC","B2","C4","D6"
"MSdm1","MSdm1/03","MSdm1/01","MSdm1/06"
"MSdm2","MSdm2/03","MSdm2/01","MSdm2/06"
"MSdm3","MSdm3/03","MSdm3/01","MSdm3/06"
"MSdv","MSdv/02","MSdv/01","MSdv/09"
"MSdw","MSdw/103","MSdw/101","MSdw/111"
"MSdw_MT","MSdw_MT/103","MSdw_MT/101","MSdw_MT/113"
"MSmm_ID","MSmm_ID/103","MSmm_ID/101","MSmm_ID/113"
"MSmw1","MSmw1/03","MSmw1/01","MSmw1/06"
"MSmw2","MSmw2/03","MSmw2/01","MSmw2/06"
"MSSDun_NV","MSSDun_NV/Gg","MSSDun_NV/Gg","MSSDun_NV/111"
"MSxh_OR","MSxh_OR/103","MSxh_OR/101","MSxh_OR/113"
"MSxk_WA","MSxk_WA/103","MSxk_WA/101","MSxk_WA/113"
"MSxk1","MSxk1/02","MSxk1/01","MSxk1/08"
"MSxk2","MSxk2/02","MSxk2/01","MSxk2/08"
"MSxk3","MSxk3/02","MSxk3/01","MSxk3/08"
"MSxm_CO","MSxm_CO/103","MSxm_CO/101","MSxm_CO/113"
"MSxv","MSxv/02","MSxv/01","MSxv/08"
"MSxx_NV","MSxx_NV/103","MSxx_NV/101","MSxx_NV/111"
"OWun_CA","OWun_CA/103","OWun_CA/101","OWun_CA/111"
"PPmx_WY","PPmx_WY/102","PPmx_WY/101","PPmx_WY/113"
"PPxh_CO","PPxh_CO/102","PPxh_CO/101","PPxh_CO/113"
"PPxh_WA","PPxh_WA/102","PPxh_WA/101","PPxh_WA/113"
"PPxh1","PPxh1/03","PPxh1/01","PPxh1/08"
"PPxh2","PPxh2/03","PPxh2/01","PPxh2/07"
"PPxh3","PPxh3/03","PPxh3/01","PPxh3/06"
"PPxk_OR","PPxk_OR/102","PPxk_OR/101","PPxk_OR/113"
"PPxm_OR","PPxm_OR/Gg","PPxm_OR/101","PPxm_OR/113"
"PPxw_MT","PPxw_MT/102","PPxw_MT/101","PPxw_MT/113"
"PPxx_OR","PPxx_OR/102","PPxx_OR/101","PPxx_OR/113"
"SASbo","SASbo/a","SASbo/c","SASbo/d"
"SBAPcp","SBAPcp/d","SBAPcp/m","SBAPcp/h"
"SBAPfp","SBAPfp/d","SBAPfp/m","SBAPfp/h"
"SBPSdc","SBPSdc/02","SBPSdc/01","SBPSdc/06"
"SBPSmc","SBPSmc/02","SBPSmc/01","SBPSmc/05"
"SBPSmk","SBPSmk/03","SBPSmk/01","SBPSmk/07"
"SBPSxc","SBPSxc/02","SBPSxc/01","SBPSxc/06"
"SBSdh1","SBSdh1/02","SBSdh1/01","SBSdh1/07"
"SBSdh2","SBSdh2/02","SBSdh2/01","SBSdh2/07"
"SBSdk","SBSdk/03","SBSdk/01","SBSdk/07"
"SBSdw1","SBSdw1/03","SBSdw1/01","SBSdw1/09"
"SBSdw2","SBSdw2/03","SBSdw2/01","SBSdw2/09"
"SBSdw3","SBSdw3/02","SBSdw3/01","SBSdw3/08"
"SBSmc1","SBSmc1/02","SBSmc1/01","SBSmc1/08"
"SBSmc2","SBSmc2/02","SBSmc2/01","SBSmc2/09"
"SBSmc3","SBSmc3/03","SBSmc3/01","SBSmc3/08"
"SBSmh","SBSmh/03","SBSmh/01","SBSmh/07"
"SBSmk1","SBSmk1/04","SBSmk1/01","SBSmk1/08"
"SBSmk2","SBSmk2/02","SBSmk2/01","SBSmk2/06"
"SBSmm","SBSmm/02","SBSmm/01","SBSmm/08"
"SBSmw","SBSmw/03","SBSmw/01","SBSmw/08"
"SBSun","SBSun/d","SBSun/m","SBSun/h"
"SBSvk","SBSvk/02","SBSvk/01","SBSvk/07"
"SBSwk1","SBSwk1/03","SBSwk1/01","SBSwk1/09"
"SBSwk2","SBSwk2/02","SBSwk2/01","SBSwk2/06"
"SBSwk3","SBSwk3/02","SBSwk3/01","SBSwk3/08"
