"index","GCM","SSP","RUN","PERIOD","CDFmm","CDFmm_WA","CMAun","CMAun_WA","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHmh_OR","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvh_WA","CWHvh2","CWHvm_WA","CWHvm1","CWHvm2","CWHws2","CWHxm_WA","CWHxm1","CWHxm2","ESSFmw1","ESSFmwp","ESSFmww","MHmm_WA","MHmm1","MHmm2","MHmmp"
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",5,NA,NA,55,605,1093,93,6,80,NA,270,47,NA,NA,NA,4,2832,251,NA,NA,193,914,NA,NA,NA,NA,90,1,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",1,NA,NA,16,219,6868,256,40,80,NA,54,2,NA,NA,NA,20,4889,20,NA,242,168,2325,NA,NA,NA,NA,9,NA,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",1,NA,NA,16,219,6868,256,40,80,NA,54,2,NA,NA,NA,20,4889,20,NA,242,168,2325,NA,NA,NA,NA,9,NA,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,NA,NA,14,357,4877,97,37,80,NA,73,17,NA,NA,NA,5,3757,56,NA,NA,250,2128,NA,NA,NA,NA,8,NA,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,9,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,NA,NA,NA,8,628,NA,25,1,NA,NA,NA,NA,NA,NA,NA,914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,14,118,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,672,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,331,4199,22,10,80,NA,35,1,NA,NA,NA,4,4184,22,NA,NA,42,1346,NA,NA,NA,NA,11,NA,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,NA,NA,NA,387,4721,23,6,80,NA,33,2,NA,NA,NA,5,4328,52,NA,12,26,558,NA,NA,NA,NA,11,NA,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,NA,NA,37,372,1093,24,NA,80,NA,39,1,NA,NA,NA,4,2350,76,NA,NA,23,60,NA,NA,NA,NA,15,NA,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,NA,NA,NA,279,4659,29,30,80,NA,30,NA,NA,4,NA,5,4902,9,NA,43,72,1220,NA,NA,NA,NA,9,NA,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,120,2232,NA,4,80,NA,NA,NA,NA,NA,NA,NA,3667,2,NA,NA,4,365,NA,NA,NA,NA,NA,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,NA,NA,NA,139,1909,NA,6,80,NA,NA,NA,NA,2,NA,NA,4220,1,NA,NA,3,321,NA,NA,NA,NA,NA,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,154,3013,2,34,80,NA,2,NA,NA,NA,NA,1,3763,2,NA,NA,5,666,NA,NA,NA,NA,NA,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,NA,NA,5,142,1288,NA,NA,70,NA,NA,NA,NA,NA,NA,1,1644,5,NA,NA,NA,247,NA,NA,NA,NA,NA,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,NA,NA,27,436,2253,10,2,80,NA,26,1,NA,NA,NA,4,2673,30,NA,NA,33,1193,NA,NA,NA,NA,16,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",1,NA,NA,35,569,1451,43,1,79,NA,55,9,NA,NA,NA,4,2298,145,NA,NA,86,1485,NA,NA,NA,NA,46,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,13,468,2048,25,5,80,NA,32,1,NA,NA,NA,4,2434,32,NA,NA,45,1242,NA,NA,NA,NA,21,NA,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,NA,NA,16,274,2425,2,87,80,NA,6,1,NA,NA,NA,1,3049,4,NA,NA,13,757,NA,NA,NA,NA,NA,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,195,3877,4,35,80,NA,6,1,NA,6,NA,3,4864,7,NA,56,7,527,NA,NA,NA,NA,4,NA,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,NA,NA,16,165,577,11,NA,80,NA,9,NA,NA,NA,NA,1,2165,3,NA,16,7,349,NA,NA,NA,NA,2,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,NA,NA,NA,89,5176,4,189,80,NA,10,8,NA,11,NA,NA,5472,NA,NA,NA,29,1296,NA,NA,NA,NA,13,NA,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,NA,NA,10,164,3381,NA,12,80,NA,NA,NA,NA,4,NA,NA,3809,1,NA,45,NA,4,NA,NA,NA,NA,NA,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",NA,NA,NA,32,369,1233,16,2,78,NA,62,1,NA,NA,NA,4,2525,31,NA,NA,24,1066,NA,NA,NA,NA,19,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,33,392,1565,10,NA,78,NA,67,NA,NA,NA,NA,4,2965,37,NA,NA,33,1288,NA,NA,NA,NA,12,NA,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,30,290,544,4,13,74,NA,29,NA,NA,NA,NA,1,1475,16,NA,NA,10,340,NA,NA,NA,NA,10,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",NA,NA,NA,32,377,1564,16,11,78,NA,65,1,NA,NA,NA,3,2826,38,NA,NA,42,1398,NA,NA,NA,NA,16,NA,NA
